"Спецификация краски для стен балкона";"";""
"Тип";"Площадь, м²";"Литр, л"
"";"";""
"Покраска стен Dekoral Blue Белый для стен балкона";"20,45";"6,67"
"Общий итог";"20,45";"6,67"
