"Условное обозначение фартука";"";"";"";""
"ID";"Тип";"Кол-во, шт";"Площадь, м²";"Изображение"
"Кухня";"";"";"";""
"4528";"Фартук Керамогранит Orlando Beige 60х120 GLOSSY Глянец";"6";"2,61";"60x120_k-1001mr_calacatta_kerranova.jpg"
"Общий итог";"";"6";"2,61";""
