"Спецификация окон";"";"";"";""
"Тип";"Из помещения: Имя";"В помещение: Имя";"Площадь, м²";"Ширина, мм"
"Окно";"Балкон";"";"4,62";"2150"
"Окно";"Гостиная";"";"4,73";"2100"
"Окно с дверью";"Кухня";"Балкон";"5,85";"750"
"Окно";"Спальня №1";"";"4,73";"2100"
"Окно";"Спальня №2";"";"4,73";"2100"
"Общий итог";"";"";"24,65";"9200"
