"Условное обозначение плитки в ванной";"";"";"";""
"ID";"Тип";"Кол-во, шт";"Площадь, м²";"Изображение"
"Ванная";"";"";"";""
"4526";"Керамогранит Beton White 1200*600*10 пол и стены";"37";"15,53";"Beton white.jpg"
"4527";"Керамогранит Burlington White 60х120 MATT ZR Матовый";"10";"5,80";"Pandora Crema Плитка 315х630.jpg (2)"
"Общий итог";"";"47";"21,32";""
